lAboutText1	~1~ ~2~ (~3~ bits)
lDialogMouseButtonsText	Linkse muistoets|Middelste muistoets|Rechtse muistoets|Speciale muistoets 1|Speciale muistoets 2|Scrollwiel op|Scrollwiel neer|Scrollwiel links|Scrollwiel rechts|
lDialogMoveFavoritesTitle	Favoriet verplaatsen - ~1~ ~2~
lDialogMoveFavoriteTitle	Verplaats favoriet - ~1~ ~2~
lDialogNA	n.v.t.
lDialogNone	Geen
lDialogNormal	Normaal
lDialogOff	Uit
lDialogOK	OK
lDialogOKAmpersand	&OK
lDialogOn	Aan
lDialogOpenThisGroup	Open deze groep
lDialogOpenThisMenu	Open dit menu
lDialogOr	of
lDialogOtherHotkeys	Andere sneltoetsen voor het hoofdmenu
lDialogQAPFeatureCategoriesNames	Opties|Dynamische Menu's|QAP Menu opmaak|Favoriet toevoegen van type|Venstermanagement|Windows Opties|Verschillende Opties|QAP management
lDialogQAPFeaturesHelpLink	Hulp bij deze opties
lDialogReadOnly	Alleen lezen
lDialogRemoveMultipleFavorites	Wilt u ~1~ favoriet of submenu verwijderen?
lDialogSearch	Zoeken
lDialogSelectIcon	Selecteer pictogram
lDialogSelectIconJL	Selecteer in JLicons.dll
lDialogSelectIconNo	Geen pictogrammen
lDialogSelectItemToAdd	Selecteer het item om toe te voegen
lDialogSelectItemToEdit	Selecteer het te bewerken item alstublieft.
lDialogSelectItemToMove	Selecteer het te verplaatsen item alstublieft.
lDialogSelectItemToRemove	Selecteer het te verwijderen item alstublieft.
lDialogSettingsInvalid	Het instellingenbestand is onjuist!`n`nZorg ervoor dat het bestand de secties ~1~ en ~2~ bevat.`n`nBestand: ~3~
lDialogSettingsNotSavedPrompt	Het instellingenvenster is open met onopgeslagen wijzigingen. Deze wijzigingen dienen te worden opgeslagen of geannuleerd alvorens de gevraagde actie uit te voeren.`n`nWilt u:`n"Opslaan": De wijzigingen zullen worden opgeslagen en de actie zal worden uitgevoerd.`n"Instellingen": Annuleer de gevraagde actie en ga terug naar het instellingenmenu.`n"Annuleren": Alleen de gevraagde actie annuleren?
lDialogSettingsNotSavedTitle	~1~ - instellingen niet opgeslagen
lDialogShift	Shift
lDialogShortcut	Snelkoppeling
lDialogShortcuts	sneltoetsen
lDialogShortcutsDescription	Geeft het venster weer met een overzicht van de sneltoetsen voor uw toetsenbord of muis. U kunt favorieten sorteren door op de kop te klikken.`n`nDubbelklik op een sneltoets om de toegewezen sneltoets te wijzigen of te verwijderen.`n`nKlik op het selectievakje "Alle favorieten weergeven" om sneltoetsen aan andere favorieten toe te wijzen.
lDialogSortBy	Sorteer volgens
lDialogSortOrder	Sorteervolgorde
lDialogSpecialFoldersCategoriesNames	Basis|Power User|Sysadmin|Contents|Hardware
lDialogState	Vensterstatus:
lDialogSubmenuNameEmpty	Voor dit submenu is geen naam geselecteerd, selecteer een naam...
lDialogSubmenuParentMenu	Submenu hoofdmenu
lDialogSwitchSettings	Selecteer het instellingenbestand om te gebruiken
lDialogSwitchSettingsCancel	Het schakelen tussen instellingenbestanden is geannuleerd...`n`nHet huidige instellingen-bestand is: ~1~
lDialogSwitchSettingsReady	Herlaad ~2~ met het nieuwe instellingenbestand:`n`n~1~
lDialogTabNext	Volgende
lDialogThirdPartyDetected	~1~ heeft gedetecteerd dat ~2~ is geinstlleerd op uw computer, wilt u de integratieoptie met ~2~ inschakelen?
lDialogTreeView	Boomstructuur
lDialogTriggerFor	Trigger voor:
lDialogUseDefaultWindowPosition	Gebruik de standaard vensterpositie
lDialogWin	Windows
lDialogWindowPosition	Vensterpositie:
lDialogWindowPositionDelay	Vertraging
lDialogWindowPositionH	Hoogte
lDialogWindowPositionLeft	Links
lDialogWindowPositionMayFail	nb: Om verschillende redenen kan QAP falen in het verplaatsen of herschalen van sommige vensters.
lDialogWindowPositionRight	Rechts
lDialogWindowPositionW	Breedte
lDialogWindowPositionX	Links
lDialogWindowPositionY	Top
lDialogWindowsFolderIconCreate	maken
lDialogWindowsFolderIconNoRoot	Het Windows-map pictogram kan niet ingesteld worden in het stations hoofdmap.
lDialogWindowsFolderIconPrompt	Dit commando zal het systeembestand ~1~:`n~2~`n`nHet pictogram van de map: "Windows" zal aangepast worden door het huidig geselecteerde pictogram. Wilt u doorgaan?
lDialogWindowsFolderIconPrompt2	nb: Het kan ongeveer 10-15 seconden tot 1 minuut duren totdat Windows het nieuwe pictogram weergeeft.
lDialogWindowsFolderIconRemove	Verwijder het Windows-map pictogram
lDialogWindowsFolderIconRemoveFile	Dit commando kan ook het systeembestand verwijderen en de map herstellen naar de standaardinstellingen:`n~1~`n`nWilt u het systeembestand verwijderen?
lDialogWindowsFolderIconReset	Het pictogram zal worden gereset naar het standaard pictogram.`n`nWilt u doorgaan?
lDialogWindowsFolderIconSet	Stel het Windowsmap pictogram in
lDialogWindowsFolderIconUpdate	update
lDialogWinShort	Win
lDialogWorkingDirLabel	Start in
lDonateButtonAmpersand	Steun &Freeware!
lDonateCheckPrompt	Bent u tevreden over ~1~?`n`n~1~ is niet alleen GRATIS maar bevat ook GEEN vervelende reclame of adware (waarvan nooit zeker is of deze geen spyware of malware bevatten)`n`nTot nog toe heeft ~1~ u ~2~ maal geassisteerd om tijd te besparen tijdens de dagelijkse werkzaamheden. Zou u ~1~ willen steunen?
lDonateCheckPrompt2	nb: Gebruikers die een donatie geven krijgen een code om het ~1~ te donatiealertsysteem te deactiveren.
lDonateCheckPrompt3	dit bericht weergeven
lDonateCheckPrompt4	Donatie herinneringen weergeven
lDonateCheckTitle	~1~ keer! - ~2~
lDonateMenu	Steun Freeware!
lDonatePlatformComment1	Doneer met een Kredietkaart (een account is niet nodig) of uw Paypal account.
lDonatePlatformComment2	Voor Europese donors
lDonatePlatformComment3	Voor Canadese donors
lDonatePlatformComment4	Beschikbaar voor US $, Euros en CAD $
lDonatePlatformName1	Gebruik Paypal in US $
lDonatePlatformName2	Gebruik Paypal in Euros
lDonatePlatformName3	Gebruik Paypal in CAD $
lDonatePlatformName4	Doneer maandelijks
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Steun Freeware ontwikkeling!
lDonateText2	<a href="~1~">Waarom ~1~ steunen?</a>
lDonateText3	of... steun freeware gratis!
lDonateText4	Geef een positieve review over ~1~ op:
lDonateText5	Stuur mij uw link
lDonateThankyou	Dank u voor het steunen van QAP!
lDonateTitle	Steun freeware! - ~1~ ~2~
lGuiAbout	Over
lGuiAboutDescription	Geeft het "Over" venster weer met verschillende informatie over de ontwikkeling, vertaling en andere credits, applicatie- en runtime-versienummers, licentie, de huidige gebruiker en computernaam, links naar de ondersteuningswebsite.`n`nDeze functie is ook beschikbaar via de knop "Over" in het hoofdvenster "Instellingen".
lGuiAddFavorite	Toevoegen
lGuiCancel	Annuleren
lGuiCancelAmpersand	&Annuleren
lGuiClose	Sluiten
lGuiCloseAmpersand	&Sluiten
lGuiCopyAmpersand	K&opiÃ«ren
lGuiDonate	Doneer
lGuiDonateDescription	Geeft het venster "Support freeware" weer.
lGuiDropFilesHelp	Hulp voor Slepen && Neerzetten
lGuiDropFilesIncentive	U kunt de volgende type favorieten Slepen & Neerzetten naar het ~1~ venster:`n`n`t- ~2~`n`t- ~3~`n`t- ~4~
lGuiDropFilesIncentive2	Om u te helpen met het verplaatsen van 1 of meerdere bestanden, kunt u het Instellingen venster altijd op de voorgrond laten weergeven door "altijd op de voorgrond weergeven" te selecteren door op de pin-pictogram te klikken links in het venster.
lGuiEditFavorite	Wijzigen
lGuiGroupClosing	Windows Explorer sluiten
lGuiGroupRestoreDelay	Herstelvertraging tussen favorieten:
lGuiGroupRestoreDelayMilliseconds	milliseconde
lGuiGroupRestoreSide	Aan welke zijde van ~1~ weergeven?
lGuiGroupSaveAddWindowsLabel	Aan bestaande venster toevoegen
lGuiGroupSaveReplaceWindowsLabel	Vervang bestaande vensters
lGuiGroupSaveRestoreOption	Indien deze groep wordt opgeroepen:
lGuiGroupSaveRestoreWith	Herstel mappen met:
lGuiHelp	Help
lGuiHotkeysHelp	Hulp voor sneltoetsen
lGuiHotkeysHelpText	Pijl Op:    Ga naar de vorige favoriet`nPijl Neer: Ga naar de volgende favoriet`n`nEnter:    Wijzig de huidige favoriet`nCtrl-N:   Voeg een nieuwe favoriet toe`nCtrl-C:   Kopieër een favoriet`nDel:        Verwijder favoriet(en)`n`nShift-Op/Neer:      Selecteer aangrenzende favoriet`nCtrl-muisklik:        Selecteer niet aangrenzende favorieten`nCtrl-A:                    Selecteer alle favorieten`nCtrl-Pijl Op:           Verplaats favoriet naar boven`nCtrl-Pijl Neer:        Verplaats favoriet omlaag`nCrtl-Pijl Rechts:     Open submenu`nCtrl-Links:              Open hoofdmenu
lGuiHotkeysHelpText2	F1: Help weergeven`nCtrl-F: Selecteer de zoekfunctie`nCtrl-H: Dit venster weergeven
lGuiLoginName	Login naam
lGuiLvFavoritesHeader	Naam|Type|Sneltoets|Locatie of inhoud
lGuiLvFavoritesHeaderFiltered	Naam|Menu|Type|Sneltoets|Locatie of inhoud
lGuiMove	Verplaatsen
lGuiMoveAmpersand	&Verplaatsen
lGuiOptions	Opties
lGuiOptionsDescription	Geeft het venster "Opties" weer, zodat QAP naar uw wens kan worden aangepast.`n`nDe opties zijn gegroepeerd in de tabbladen: "Algemeen", "Menu", "Sneltoetsen", "Alternatieve sneltoetsen", "Uitsluitingen" en "Bestandsbeheerders".
lGuiPassword	Wachtwoord
lGuiPasswordNotEncripted	nb: Het wachtwoord zal niet versleuteld worden wanneer deze verzonden wordt naar het internet
lGuiRemoveFavorite	Verwijderen
lGuiResetDefault	Standaard sneltoets herstellen
lGuiSaveAmpersand	&Opslaan
lGuiSaveAndCloseAmpersand	O&pslaan &&`n Sluiten
lGuiSaveAndStayAmpersand	Opslaan &&`n &Herladen
lGuiSaveToUpdateBacklinks	Opslaan om de backlinks te updaten
lGuiSaving	Bezig met opslaan
lGuiSubmenuDropdownLabel	Menu of groep om te wijzigen:
lGuiTitle	Instellingen - ~1~ ~2~
lHelpTabAddingFavorite	Favorieten toevoegen
lHelpTabGettingStarted	Om te beginnen
lHelpTabQAPFeatures	QAP functies
lHelpTabSharedMenus	Openbaar menu
lHelpTabTipsAndTricks	Tips and Trucs
lHelpText11	Wanneer Quick Access Popup laadt, geeft het een pictogram weer in het systeemvak en zal wachten op uw orders.  Wanneer u 1 van uw geprefereerde MAPPEN, APPLICATIE'S, WEB LINKS, FTP SITE of FRAGMENTEN wilt starten, gebruik dan de sneltoets [~1~] of [~2~] en selecteer uw gewenste favoriet in het popupmenu.
lHelpText12	Wanneer u een favoriete map selecteert in Windows Explorer of een dialoogbox*, zal Quick Access Popup direct "navigeren" naar de bewuste locatie opgeslagen in het favoriet!`n*) Deze optie dient ingeschakeld te worden in "Opties" - "Opties".
lHelpText13	Om het openen van een map in een nieuw venster te forceren, kunt u gebruik maken van de alternatieve sneltoetsen: [~1~] of [~2~].`nSelecteer "Open in nieuw venster" in het alternatieve menu en selecteer uw gewenste map.`nHet alternatieve menu heeft nog tal van andere functionaliteiten.
lHelpText14	Kies "Instellingen" om uw Quick Access Popup menu aan te passen aan uw persoonlijke wensen. U kunt hier favorieten toevoegen aan uw menu of u kunt deze verplaatsen, hernoemen of verwijderen. Ook kunt u SUBMENU'S, GROEPEN of OPENBARE MENU'S toevoegen. Kies het aan te passen menu onder: "Menu of groep om te wijzigen" en sla uw wijzigingen op door op "Opslaan" te drukken.
lHelpText21	Om een favoriet toe te voegen selecteert u in het "Instellingen"-menu de knop: "Toevoegen".`nSelecteer het gewenste type van de nieuwe favoriet en lees de tips aan de rechterkant van dit scherm.`nKlik op "Volgende" om het "Toevoegen Favoriet"-venster te openen.
lHelpText22	In de 4 tabs van het venster "Toevoegen Favoriet" kunnen de "Basis Opties", "Menu Opties", "Venster Opties" en "Geavanceerde Opties" gewijzigd worden.`nKlik op "Toevoegen" om de favoriet toe te voegen en op "Opslaan" om de favoriet op te slaan.
lHelpText23	VOEG DEZE MAP OF LINK TOE`n`nOm snel een nieuwe MAP of LINK toe te voegen als favoriet in het popup-menu:`n1) Ga naar de veel gebuikte map of webpagina.`n2) Klik op de QAP-sneltoets [~1~] of [~2~], en kies "Voeg deze map of link toe".`n3) Geef de favoriet een verkorte naam, klik op "Toevoegen", en hierna op "Opslaan" in het Instellingen venster.
lHelpText31	In het "Mijn QAP Essentials"-menu:
lHelpText32	- Gebruik "Schakelen..." in het menu om te schakelen tussen openstaande vensters zoals Windows Verkenners of andere applicaties.`n- Gebruik "Een map openen..." om snel te schakelen naar een openstaande map (erg handig in dialoogboxen)`n- Gebruik "Recent bezochte mappen..." voor een geüpdatet lijst van recent bezochte mappen`n- Gebruik de functie "Klembord" in het menu om informatie opgeslagen in het geheugen op te roepen en te gebruiken`n- En tot slot het menu "Stations" voor een lijst van bekende stations op deze computer met informatie over de vrije ruimte.
lHelpText33	PAS UW QAP FUNCTIES MENU AAN
lHelpText34	Als volgt kunt u "Mijn QAP Essentials" menu-items verplaatsen naar het hoofdmenu of naar andere submenu's:`n1) Selecteer het "Instellingen"-menu (of maak gebruik van sneltoets: [~1~])`n2) Selecteer onder "Menu of groep om te wijzigen" het QAP Essentials menu`n    (Hoofdmenu -> Mijn QAP Essentials)`n3) Selecteer de QAP feature om te verplaatsen en klik op "Wijzigen"`n4) Selecteer in de tab "Menu Opties" de nieuwe locatie onder "Favoriete hoofdmenu"`n5) Sla uw wijzigingen op.
lHelpText41	- Gebruik het pictogram van Quick Access Popup in het systeemvak (bij de klok) op de volgende 3 methodes:`n1) Klik met de linkermuistoets op het pictogram om het QAP-Menu te openen`n2) Klik met de rechtermuistoets op het pictogram om het QAP-systeemmenu te openen`n3) Dubbelklik op het pictogram om het "Instellingen"-menu te openen.
lHelpText42	- In het systeemvak, klik rechts op het Quick Access Popup pictogram en zet: "Uitboeren bij opstarten" aan om Quick Access Popup op automaisch op te starten bij het opstarten van Windows.
lHelpText43	- Configureer uw Quick Access Popup menu triggers: kies uw geprefereerde muistoets of sneltoets in: "Instellingen, Opties, tab: sneltoetsen".
lHelpText44	- Ook te vinden in "Instellingen": Kies uw taal, pictogramgrootte, vensterkleuren. Selecteer het aantal recente mappen om weer te geven, en voeg numerieke sneltoetsen toe aan mappen of geef de sneltoetsen direct weer in het menu. Selecteer waar QAP het menu opent, naast de muispijl, of juist op een vaste plaats.
lHelpText45	- Directory Opus gebruikers, lees <a href="http://www.quickaccesspopup.com/how-to-i-enable-directory-opus-support-in-quick-access-popup/">deze pagina</a> voor aanvullende informatie`n- Total Commander gebruikers, lees <a href="http://www.quickaccesspopup.com/how-do-i-enable-total-commander-support-in-quick-access-popup/">deze pagina</a> voor aanvullende informatie`n- Voor overige bestandsbeheerders, lees <a href="http://www.quickaccesspopup.com/what-file-managers-are-supported-in-addition-to-windows-explorer/">deze pagina</a> voor aanvullende informatie over QAP-Connect.
lHelpText51	Openbare menu's zorgen ervoor dat favorieten beheerd kunnen worden door een configuratiebestand welke gedeeld kan worden tussen verschillende gebruikers of door 1 gebruiker over verschillende computers. Er zijn 3 verschillende soorten Openbare Menu's:
lHelpText52	Openbare menu's kunnen elk type favorieten bevatten, behalve andere Openbare menu's. Het configuratiebestand van een Openbare menu kan worden opgeslagen op een netwerklocatie of een openbare map (zoals dropbox) en kan worden gebruikt op verschillende computers. QAP heeft volledige ondersteuning voor het werken in teamverband en vermijd modificatieconflicten.
lHelpText53	Om een Openbaar menu to maken of toe te voegen gaat u naar het "Toevoegen" dialoog en selecteert u: "Openbaar Menu" klik hierna op "Volgende". In het volgende dialoog dient het configuratiebestand ingegeven te worden, dit kan door het pad op te geven van het externe configuratiebestand. Bestands-extentie dient een .ini bestand te zijn. Als het bestand al bestaat, dan zal de inhoud weergegeven worden in het nieuwe Openbare menu. Zodra het configuratiebestand leeg is dan zal er een leeg submenu worden aangemaakt.
lHelpText54	Configureer een Openbaar Menu Catagolus in Opties (tab: "Algemeen") om gemakkelijker gebruikers toe te voegen aan het Openbaar menu.
lHelpTextLead	Quick Access Popup Quick laat u navigeren als nooit tevoren! Open veelgebruikte mappen, documenten, applicatie's en zoveel meer simpel && snel!
lHelpTitle	Help - ~1~ ~2~
lImpExpAborted	afgebroken
lImpExpAppend	Toevoegen
lImpExpCompleted	voltooid
lImpExpDestination	Bestemming
lImpExpExport	Exporteren
lImpExpExportAmpersand	&Exporteren
lImpExpFavorites	Favorieten
lImpExpFavoritesNotFound	Favorieten konden niet gevonden worden in bestand:`n`n~1~
lImpExpFile	~1~ bestand
lImpExpFileGlobal	Globale instellingen en sneltoetsen voor het hoofdmenu
lImpExpFileThemes	Thema's
lImpExpFinalReport	Verplaats ~1~. Bron: `n~2~`n`nBestemming:`n~3~
lImpExpHotkeys	sneltoetsen
lImpExpImport	Importeren
lImpExpImportAmpersand	&Importeren
lImpExpMenu	Instellingen Importeren/Exporteren
lImpExpMenuDescription	Geeft het venster weer waarin u uw favorieten en andere instellingen kunt exporteren (bijvoorbeeld om een back-up te maken) op een locatie naar keuze.`n`nU kunt ook favorieten en instellingen van een andere computer of een andere gebruiker importeren.
lImpExpMerge	Samenvoegen met
lImpExpNoThemes	Geen themalijst gevonden in waarde "~1~" van sectie "~2~".`n`nBronbestand:`n~3~
lImpExpOptionAlternative	Sneltoetsen voor alternatieve menu's
lImpExpOptionFavorites	Favorieten
lImpExpOrIdentical	(of de content is identiek)
lImpExpReplaceAll	Alles vervangen
lImpExpReplaceFavorites	Er zijn favorieten aanwezig in het doelbestand, wat wilt u doen?`n`n~1~
lImpExpReplaceSection	Vervang (OVERSCHRIJF) sectie ~2~ van het bestaande bestand?`n`n~1~`n`n[~2~]`n~3~
lImpExpRestartApp	Wilt u ~1~ herstarten en zo de nieuwe instellingen laden?
lImpExpSectionNotFound	De vereiste informatie is niet gevonden in het bestand:`n`n~1~`n`nSectie: [~2~]`nBeschrijving: ~3~
lImpExpSelectFile	Selecteer ~1~ bestand alstublieft.
lImpExpSource	Bron
lImpExpTitle	Instellingen Importeren/Exporteren - ~1~
lImpExpUnsavedSettings	Een instellingenvenster is open, mogelijk met onopgeslagen wijzigingen.`n`nSluit het venster alvorens een bestand te importeren of te exporteren.
lMainMenuName	Hoofdmenu
lMenuAboutAmpersand	&Over
lMenuAddFavorite	Favoriet toevoegen
lMenuAddFavoriteDescription	Toont een lijst met verschillende favoriettypes, hierbij kunt u het type favoriet selecteren om toe te voegen.`n`nIn het volgende venster voert u in:`n- Een naam voor de favoriet`n- De inhoud`n- Het configureren van verschillende instellingen zoals pictogram, sneltoets, hotstring, parameters etcetera.`n`nAfhankelijk van het geselecteerde type favoriet kan de inhoud van de favoriet een map, document- of applicatiebestandspad, webkoppeling, fragmenttekst, of een submenunaam zijn.
lMenuAddFavoriteOfTypeDescription	Voeg een favoriet toe van type "~1~".`n`nTyp in het venster "Favoriet toevoegen" de naam en inhoud in (afhankelijk van uw geselecteerde type).`nStel de verscheidene opties in zoals pictogram, sneltoets, hotstring, parameters, etcetera in.
lMenuAddThisFolder	Voeg deze Map of Link toe
lMenuAddThisFolderDescription	Voeg op een snelle manier de actieve map of webpagina toe aan uw menu.`n`nU kunt via deze manier mappen toevoegen in Windows-vensters van de Verkenner of in bestandsvensters. U kunt links toevoegen naar webpagina's vanuit de meeste browsers.`n`nVoer in het venster "Favoriet toevoegen" de naam voor uw favoriet in en configureer verschillende instellingen zoals pictogram, snelkoppeling, hotstring, parameters, enz.`n`nStandaard is deze functie opgenomen in het hoofdmenu.
lMenuAddThisFolderXpress	Voeg deze Map of Link toe aan Qap-Express
lMenuAddThisFolderXpressDescription	Deze functie is gelijk aan de functie "Deze map of link toevoegen", het verschil met deze functie is dat de nieuwe favoriet automatisch boven aan het hoofdmenu wordt toegevoegd.`n`nAls u de standaardinstellingen wilt wijzigen, drukt u op de knop "Bewerken" om de naam, positie en de verschillende instellingen van de geselecteerde favoriet te wijzigen.`n`nIn "Opties" kunt u instellen dat nieuwe favorieten standaard onder in het hoofdmenu worden toegevoegd.
lMenuAlternativeEditFavorite	Een favoriet wijzigen
lMenuAlternativeNewWindow	Open in een nieuw venster
lMenuAlternativeOpenContainingCurrent	Open de map in het openstaande venster
lMenuAlternativeOpenContainingNew	Open de map in een nieuw venster
lMenuAlternativeRunAs	Uitvoeren als administrator
lMenuAppData	Applicatiegegevens
lMenuCache	Cache
lMenuClipboard	Klembord
lMenuClipboardDescription	Geeft een dynamisch menu weer met de inhoud van uw huidige Windows-klembord.`n`nAls het klembord bestanden, toepassingen of mappen bevat, toont QAP deze lijst in het menu. U kunt deze documenten snel openen, een toepassing starten of naar de desbetreffende map kunt navigeren.
lMenuCloseAllWindows	Sluit alle vensters
lMenuCloseAllWindowsDescription	Toont een lijst met vensters die momenteel zijn geopend. Om vensters te sluiten selecteert u de gewenste vensters om te sluiten en klikt u op "Geselecteerde vensters sluiten". Ook kunt u dubbelklikken of op "Enter" drukken om de geselecteerde venster te sluiten of details hiervan te bekijken.
lMenuCloseThisMenu	Menu sluiten
lMenuCloseThisMenuDescription	Sluit het QAP-menu als het niet kan worden gesloten door buiten het menu te klikken of door op de Escape-toets in te drukken.`n`nDit is gerelateerd aan een intermitterend probleem (waarschijnlijk veroorzaakt door Windows) waardoor gebruikers het menu niet normaal kunnen sluiten.
lMenuColumnBreak	kolom
lMenuCommonAppData	Openbare Applicatiegegevens
lMenuCommonDesktop	Openbaar Bureaublad
lMenuCommonStartMenu	Openbaar Startmenu
lMenuCommonStartupMenu	Openbare Startup menu
lMenuCookies	Cookies
lMenuCopyLocation	Kopiëer een pad of website uit een favoriet
lMenuCurrentFolders	Een map openen
lMenuCurrentFoldersDescription	Geeft een dynamisch menu weer met de mappen die zijn geopend in de Windows Verkenner of Directory Opus-vensters. Dit menu wordt vernieuwd wanneer u het QAP-menu opent.`n`nDeze functie is met name handig wanneer u zich in een dialoogvenster bevindt en een bestand wilt selecteren op een locatie die al in een ander venster is geopend. Zie ook de functie: "Huidige map opnieuw openen in venster".
lMenuDesktop	Bureaublad
lMenuDownloads	Downloads
lMenuDrives	Stations
lMenuDrivesDescription	Geeft een dynamisch menu weer met de schijven van uw systeem met label, vrije ruimte, capaciteit en een pictogram dat het stationstype toont.`n`nDit menu wordt vernieuwd telkens wanneer u het QAP-menu opent.
lMenuDrivesSpace	(~1~ GB vrij / ~2~ GB) GB staat voor Giga-Bytes
lMenuEditIniFile	Wijzig ~1~...
lMenuEditIniFileDescription	Wijzigen van het actieve "Quick Access Popup instellingenbestand (.ini).
lMenuExitApp	~1~ afsluiten 
lMenuExitAppDescription	Mogelijkheid om het Quick Access Popup af te sluiten, zodat alle muis- en toetsenbord sneltoetsen worden vrijgegeven welke voor favotieten zijn gedefinieerd.
lMenuExternalCatalogue	Openbare favorietenmenu vanuit de catalogus toevoegen...
lMenuExternalCatalogueDescription	Voeg een menu toe vanuit de "Openbaar Menu"-catalogus, dit is een opslagplaats van instellingenbestanden beheerd door menu-beheerders of groepsleden.`n`nU kunt een bestaand "Openbaar Menu"-bestand uit een bibliotheek selecteren, een Openbaar menu toevoegen welke zich niet in de catalogus bevindt of maak een nieuw Openbaar menu.
lMenuFavoritesInternet	Internet favorieten
lMenuFonts	Lettertypen
lMenuGetWinInfo	Haal vensterinformatie op
lMenuGetWinInfoDescription	Deze functie helpt u bij het identificeren van een venster dat u wilt uitsluiten van QAP-sneltoetsen.`n`nDe functie zal u vragen om op het doelvenster te klikken met de sneltoets om het QAP-menu te openen(standaard is dit de middelste muisknop) en de venstertitel en klasnaam te kopiëren naar uw klembord.`n`nZie het tabblad "Uitsluitingen" in het dialoogvenster "Opties" voor de volledige uitleg.
lMenuHelp	Help
lMenuHistory	Geschiedenis
lMenuLastAction	Herhaal de laatste actie
lMenuLastActionDescription	Voegt een item met het label "Herhaal de laatste actie" toe aan uw menu. Wanneer u dit menu-item selecteert, wordt de laatst geopende favoriet opnieuw geopend.`n`nHet label van deze functie is altijd 'Laatste actie herhalen' en kan niet omgezet worden naar wat deze laatste actie was(QAP-beperking). U dient zelf te onthouden wat de laatste actie was die u had uitgevoerd.
lMenuLastActions	Herhaal de laatste acties
lMenuLastActionsDescription	Geeft een dynamisch menu weer met de tien meest recente favorieten die u heeft uitgevoerd.`n`nU kunt het aantal items in dit menu configureren op het tabblad "Opties" in het instellingenmenu.`n`nIn dit menu worden items gesorteerd naar de meest recent gebruikte item bovenaan in de lijst. Wanneer u een item opnieuw opent, wordt het item verplaatst naar de bovenkant van het menu.
lMenuMenu	Menu
lMenuMyMusic	Mijn muziek
lMenuMyQAPMenu	Mijn QAP Essentials
lMenuMySpecialMenu	Mijn speciale mappen
lMenuMyVideo	Mijn videos
lMenuNoClipboard	Het klembord bevat geen pad of website...
lMenuNoCurrentFolder	Geen open mappen gevonden...
lMenuPictures	Afbeeldingen
lMenuProgramFiles	Programmabestanden
lMenuProgramsFolderStartMenu	Programma Map (Start Menu)
lMenuPublicLibraries	Openbare Bibliotheken
lMenuQuickLaunch	Snelstarten
lMenuRecentFiles	Recente Bestanden
lMenuRecentFilesDescription	Geeft een dynamisch menu weer met de tien meest recent gebruikte documenten uit de door Windows bijgehouden "Recente items". U kunt het aantal items in dit menu configureren op het tabblad "Opties" in het instellingenmenu.`n`nIn dit menu worden items gesorteerd naar het meest recent gebruikte bestand bovenaan in de lijst, zoals dit is vastgelegd door Windows.
lMenuRecentFolders	Recent bezochte mappen
lMenuRecentFoldersDescription	Geeft een dynamisch menu weer met de tien meest recent geopende mappen uit de door Windows bijgehouden "Recente items". U kunt het aantal items in dit menu configureren op het tabblad "Opties" in het instellingenmenu.`n`nIn dit menu worden mappen gesorteerd naar de meest recent gebruikte map bovenaan in de lijst, zoals dit is vastgelegd door Windows.
lMenuRecentItems	Onlangs geopend
lMenuRefreshMenu	Live-mappen & Gedeelde menu's verversen
lMenuRefreshMenuDescription	Refresh on-demand the "Live folders" menus. This action can also be executed repeatedly by entering an interval (in seconds) in the "Scheduled QAP menu refresh" of the "Menu" tab in the "Options" windows.`n`nDuring the short (depending on the number of Live folders or Shared menus) refresh time, the QAP menu is not available.
lMenuReload	~1~ opnieuw laden
lMenuReloadDescription	Herstart Quick Access Popup.`n`nSla eventuele wijzigingen eerst op voordat u QAP opnieuw opstart.F
lMenuReopenCurrentFolder	Heropen de huidige map in een dialogbox
lMenuReopenCurrentFolderDescription	Navigeer naar de openstaande map in Windows Verkenner binnen het bestandsdialoogvenster. Om deze functie te gebruiken, dient de optie "Schakel QAP-mapnavigatie voor dialoogboxen in" onder "Opties" -> "Algemeen".
lMenuReopenInNewWindow	Heropen actuele map van dialoogbox
lMenuReopenInNewWindowDescription	Open de huidige map opnieuw in een nieuw Explorer-venster (ook in Directory Opus of Total Commander). Handig als u de map wilt openen die u bekijkt in een bestandsdialoogvenster.
lMenuRestoreSettingsWindowPosition	Positie van het Instellingenvenster herstellen
lMenuRestoreSettingsWindowPositionDescription	Herstel het vensterformaat en de positie van het instellingenmenu naar het midden van het hoofdscherm.
lMenuRunAtStartupAmpersand	&Uitvoeren bij opstarten
lMenuSettings	Instellingen
lMenuSettingsDescription	Open het venster "Instellingen" waar u uw QAP-popupmenu kunt aanpassen, uw favorieten kunt beheren en verschillende opties kunt instellen.`n`nStandaard is deze functie opgenomen in het hoofdmenu.
lMenuSettingsFileOptions	Opties voor instellingenbestand
lMenuStartMenu	Startmenu
lMenuStartup	Start op
lMenuSuspendHotkeys	Sneltoetsen tijdelijk uitschakelen
lMenuSwitchFolderOrApp	Schakelen
